map,source,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
yes_line_C,level-0,12.2,68.46,56.26,39.3175,314.54,-1.4786666666666664,0.628,0.24573640691275234
yes_line_D,line,16.0,44.0,28.0,30.0,240.0,0.0,0.0,0.175
yes_line_D,1cut,16.0,40.0,24.0,26.875,215.0,0.5681818181818182,-0.0909090909090909,0.1703488372093022
yes_line_D,1cut_bad,18.0,43.0,25.0,29.75,238.0,0.0454545454545454,-0.0681818181818181,0.1575630252100841
yes_line_D,1cut_badder,22.0,44.0,22.0,31.125,249.0,-0.2045454545454545,-0.1363636363636363,0.1400602409638554
yes_line_D,paper_data,20.4,54.4,34.0,36.525,292.2,-1.1863636363636363,0.13636363636363635,0.16382247578320902
yes_line_D,level-0,22.18,54.04,31.86,37.235,297.88,-1.3154545454545454,0.0877272727272727,0.15565286035136747
yes_line_E,line,34.0,62.0,28.0,48.0,384.0,0.0,0.0,0.109375
yes_line_E,1cut,52.0,73.0,21.0,62.25,498.0,-1.8387096774193548,-0.1129032258064516,0.0577309236947791
yes_line_E,paper_data,37.0,104.6,67.6,70.45,563.6,-2.8967741935483873,0.6387096774193549,0.18390965419871982
yes_line_E,level-0,37.52,102.1,64.58,69.9725,559.78,-2.8351612903225805,0.59,0.17703493545614798
yes_line_F,line,44.0,51.0,7.0,47.5,380.0,0.0,0.0,0.0276315789473684
yes_line_F,1cut,34.0,49.0,15.0,44.5,356.0,0.4705882352941176,0.1568627450980392,0.0491573033707866
yes_line_F,paper_data,26.2,101.0,74.8,62.8,502.4,-2.4,1.3294117647058825,0.21638186458799388
yes_line_F,level-0,28.72,98.48,69.76,60.91,487.28,-2.103529411764706,1.2305882352941175,0.21316000287514758
