run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,43,45,72,62,108,99,104,76,-3.629032258064516,4.0,3.629032258064516,0.5967741935483871,0.06817015599343179
2,0.3,39,65,43,71,79,91,105,102,-3.403225806451613,2.0,3.403225806451613,0.6129032258064516,0.06772584033613449
3,0.3,40,43,67,84,59,108,116,87,-3.5483870967741935,4.0,3.5483870967741935,0.7741935483870968,0.08888658940397343
4,0.3,36,46,78,69,83,88,105,98,-3.532258064516129,2.0,3.532258064516129,0.6612903225806451,0.057498963515754564
5,0.3,43,64,72,100,75,112,81,96,-4.17741935483871,5.0,4.17741935483871,0.6612903225806451,0.03467632192846026
