run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,22,31,59,42,26,75,43,14,-4.129032258064516,10.0,4.67741935483871,1.4516129032258065,0.1314450947603123
2,0.3,17,65,36,47,49,63,30,14,-4.419354838709677,11.0,4.967741935483871,1.1290322580645162,0.11647534877421117
3,0.3,24,33,46,72,81,46,55,15,-6.064516129032258,9.0,6.580645161290323,1.6129032258064515,0.11947755960729323
4,0.3,18,61,50,27,62,27,41,14,-3.7419354838709675,12.0,4.290322580645161,1.032258064516129,0.12557971014492764
5,0.3,19,78,32,53,56,37,27,15,-4.290322580645161,12.0,4.903225806451613,1.5161290322580645,0.14098717597037447
