run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,75,60,35,43,69,86,117,101,-4.464285714285714,6.0,4.482142857142857,0.9642857142857143,0.07721843003412965
2,0.3,43,74,31,67,97,122,86,108,-5.214285714285714,6.0,5.303571428571429,1.125,0.08678343949044587
3,0.3,47,63,32,66,88,80,107,116,-4.696428571428571,3.0,4.767857142857143,1.0,0.078881469115192
4,0.3,137,43,46,63,88,73,103,123,-6.071428571428571,7.0,6.071428571428571,1.1785714285714286,0.09282544378698221
5,0.3,41,91,30,106,69,54,85,59,-3.5535714285714284,10.0,3.6607142857142856,0.8571428571428571,0.08177570093457942
