run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,45,33,47,53,67,36,24,13,-1.5555555555555556,14.0,2.6666666666666665,0.5777777777777777,0.05627409210793255
2,0.3,18,26,51,31,55,39,43,12,-0.6,9.0,1.3333333333333333,0.3333333333333333,0.06928152492668604
3,0.3,38,59,71,37,32,62,22,12,-1.8888888888888888,14.0,3.066666666666667,0.6888888888888889,0.0915310471762083
4,0.3,30,36,39,25,48,67,52,17,-1.4666666666666666,9.0,2.1777777777777776,0.4888888888888889,0.04640949250051363
5,0.3,40,32,53,48,56,35,25,12,-1.1777777777777778,14.0,2.311111111111111,0.35555555555555557,0.03870163969563811
