map_name,n_runs,univ_aggregate_welfare,univ_aggregate_welfare_sd,univ_inequality,univ_inequality_sd,univ_cardinal_harm,univ_cardinal_harm_sd,univ_ordinal_harm_blind,univ_ordinal_harm_blind_sd,univ_gini,univ_gini_sd
10esque,50,-1.6314285714285715,0.4324682089982921,0.265974025974026,0.0720578024129921,1.7311688311688311,0.4133774722899285,4.72,1.8739895236350383,0.008831433350439493,0.0157354984618053
7esque,50,-1.4311111111111108,0.1939368171339843,0.38666666666666655,0.08506514925063025,1.5115555555555558,0.20260286619586243,3.5,1.8322507626258087,0.04727245566641205,0.01217477991367777
9esque,50,-1.45625,0.6754214953853419,0.2841666666666666,0.18489593812874297,2.045,0.6251326389867439,8.18,1.8035113144154349,-0.006588808896660896,0.02388731478248094
maybe_4,50,0.2320930232558139,0.32019719148083386,0.23767441860465113,0.1493384121617911,1.229767441860465,0.30116017942365697,11.94,0.2398979374820952,0.06843823024935874,0.0265948391423047
maybe_5,50,0.8610344827586208,0.12297573490994486,-0.17620689655172414,0.0689030329183828,0.5241379310344827,0.10987540898125844,10.34,0.5573259772323188,-0.03900880894821364,0.01681157766532488
maybe_6,50,0.9290196078431373,0.12324229671981302,-0.24156862745098032,0.05947880981506778,0.09843137254901961,0.07716972450564794,4.24,1.6605875527680447,-0.0570246936283261,0.013845346787413775
new_maybe_1,50,-1.4879069767441861,0.5845191825807892,0.54,0.23157313945492417,2.2562790697674417,0.5817178033183633,8.86,1.9379138794285036,0.06566373376981686,0.02977264192902319
new_maybe_2,50,0.2886363636363636,0.19535906111393603,-0.08499999999999996,0.06822972961032894,0.23318181818181813,0.1446034060793709,3.72,1.5913028932164939,-0.025606932324428424,0.014311332250702163
new_maybe_3,50,0.02881355932203389,0.3455647794505707,-0.11559322033898303,0.134232623631001,0.7433898305084747,0.31092850560147334,7.3,1.4742691028964496,-0.049087541404719326,0.02392837304797404
new_maybe_4,50,-4.544999999999999,0.7384156723166603,1.092142857142857,0.25759900423026644,4.628928571428571,0.7398512470513461,6.78,2.3758135019227344,0.10056765540257671,0.024954994154302294
new_maybe_5,50,-5.583396226415094,2.444603038463288,1.4596226415094342,0.793057784749438,5.683962264150942,2.4553734112446683,6.94,1.9315849471776447,0.07481051274204809,0.050792366173148355
new_maybe_6,50,-4.173749999999999,0.5076060161487308,0.5970833333333334,0.09974545977653192,4.173749999999999,0.5076060161487308,8.0,1.8626292586293283,0.05019471734941087,0.012676134203814578
no_line_1,50,1.3519999999999999,0.1047484358826129,-0.3133333333333333,0.06289400874971096,0.026666666666666634,0.02332847374079215,2.02,1.0398194505758767,-0.06404460299440273,0.017054357551344664
no_line_2,50,2.355714285714286,0.08783285065045518,-0.36190476190476184,0.049989586587411795,0.009523809523809521,0.028457824031771266,9.46,0.676425177242955,-0.030360997609563234,0.015789921752465887
no_line_3,50,0.9958139534883721,0.11154976698718372,-0.21720930232558136,0.06172789660502082,0.019999999999999976,0.03186945369448621,1.76,1.0411924090450626,-0.04722391036692674,0.015198415308827245
no_line_A,50,2.137142857142857,0.07999490936647131,-0.42857142857142855,0.05949950913107451,0.0,0.0,0.48,0.7351245903010633,-0.08216682567005565,0.016396016631266067
no_line_B,50,2.218260869565217,0.11652875794988549,-0.382608695652174,0.05675672944874865,0.068695652173913,0.06694833953624417,11.94,1.1141025490482994,-0.07080216086128577,0.018020295914805144
no_line_C,50,2.5540000000000003,0.14836524154248257,-0.29960000000000003,0.05517911465289699,0.0176,0.031979585324875937,10.78,1.2001700559776127,-0.02701424901991132,0.016390311468295716
no_line_D,50,0.39675675675675687,0.36241809991514906,0.0005405405405405508,0.16239090320632035,0.3405405405405405,0.2893435366053312,3.62,1.5371587890836598,0.004526795419584742,0.030772612009865495
yes_line_10,50,-3.464415584415584,1.0882287570236095,0.5342857142857143,0.11902822931189984,3.5093506493506488,1.066431463387092,5.22,2.4099284433444943,0.009857576903568286,0.02959490746452646
yes_line_7,50,-1.9635555555555555,0.23780977596382732,0.4155555555555555,0.08981939270346101,2.002222222222222,0.2401078954581154,3.44,1.8643814972657657,0.036426240372266584,0.011522034122787487
yes_line_8,50,-4.375862068965517,1.0186627553412204,0.9444827586206895,0.1394745619722676,4.397931034482759,1.0026587480405305,4.12,1.6615704398341382,0.07184290858413889,0.022106579508661156
yes_line_9,50,-3.9167741935483864,0.7484498055496421,1.1858064516129032,0.29769442581444655,4.472903225806451,0.7473287674719603,10.36,1.1738650619528077,0.11518766484830147,0.02472515107746584
yes_line_A,50,-2.4295454545454547,0.5790564163163313,0.6968181818181819,0.25878924924940433,2.525909090909091,0.5786696245033258,4.78,1.7875990053928854,0.06726709054768965,0.02545666076251239
yes_line_B,50,-1.9965625,0.3453593184393729,0.4265625,0.1275743361980675,2.313125,0.3301302309509917,9.06,1.405673634720001,0.05441912436376036,0.01821142708242647
yes_line_C,50,-1.4786666666666664,0.5752466799177217,0.628,0.2340528803899795,2.488,0.5252977415800928,11.72,1.654184551557729,0.07638156820307478,0.028919666003800464
yes_line_D,50,-1.3154545454545454,0.3578988456825956,0.0877272727272727,0.1240591170784111,1.8454545454545452,0.2897806848920088,9.76,2.0757098613658482,-0.019347139648632515,0.024405136608977192
yes_line_E,50,-2.8351612903225805,0.7711585369948668,0.59,0.1522164530679753,2.86258064516129,0.7732757342143092,4.02,1.857032963781588,0.06765993545614797,0.019776140600917896
yes_line_F,50,-2.103529411764706,0.33440357340765103,1.2305882352941175,0.13535876574811329,2.736862745098039,0.3132271452122231,8.46,1.1642638034748107,0.18552842392777907,0.01514288768011949
