run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,1.0,50,139,263,97,171,214,499,294
2,1.0,170,94,210,430,349,240,384,0
3,1.0,64,322,160,107,745,587,220,296
4,1.0,100,261,123,176,290,336,84,216
5,1.0,57,99,175,295,209,429,130,380
