source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,19,26,60,47,41,47,35,22,19,60,41.0,37.125,297,-1.0208333333333333,0.14583333333333334,0.20244107744107742
simulation,2,,0.0001,17,51,36,42,52,58,40,29,17,58,41.0,40.625,325,-1.6041666666666667,0.14583333333333334,0.1726923076923077
simulation,3,,0.0001,17,23,66,48,57,29,52,20,17,66,49.0,39.0,312,-1.3333333333333333,0.3125,0.25400641025641035
simulation,4,,0.0001,24,27,48,70,60,41,54,17,17,70,53.0,42.625,341,-1.9375,0.3958333333333333,0.2342375366568914
simulation,5,,0.0001,15,20,40,68,72,60,42,46,15,72,57.0,45.375,363,-2.3958333333333335,0.4791666666666667,0.24207988980716255
experimental,,line,,14,15,25,26,36,37,47,48,14,48,34.0,31.0,248,0.0,0.0,0.22379032258064524
experimental,,1cut,,14,15,27,28,38,39,49,17,14,49,35.0,28.375,227,0.4375,0.020833333333333332,0.23623348017621137
