experiment,blind_L0,blind_L1,depth0_v4,depth1_v4,depth2_v4
Logan moral (pooled),0.2332651038229251,0.5889689424557703,0.27834027165722763,0.4609857434175909,-0.08178610245055717
Joe univ,0.5069460194970234,0.8364940205483606,0.5814582100832575,0.7621915278655951,0.12013982717438892
Joe moral,0.20411400060898097,0.6527704309040143,0.2636809170662486,0.5614788679528422,-0.24645712399139308
