run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.001,44,67,58,103,92,63,71,73,-2.671875,8.0,2.671875,0.484375,0.030070052539404646
2,0.001,48,44,69,78,85,109,52,45,-2.03125,10.0,2.453125,0.578125,0.07471698113207559
3,0.001,37,43,65,77,84,71,62,69,-1.6875,7.0,1.6875,0.296875,0.025413385826771773
4,0.001,53,61,85,62,91,76,97,65,-2.96875,6.0,2.96875,0.25,0.008983050847457541
5,0.001,46,54,64,53,87,95,63,43,-1.640625,10.0,1.96875,0.375,0.04623762376237628
