run,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,30,55,79,158,109,182,208,129,new_maybe_5,181235,0.0001,1000,8,1489.443508875
2,30,79,53,324,146,169,238,211,new_maybe_5,181236,0.0001,1000,8,2026.553647125
3,68,92,259,151,141,236,213,287,new_maybe_5,181237,0.0001,1000,8,2226.3584475
4,67,44,89,112,158,182,134,202,new_maybe_5,181238,0.0001,1000,8,1406.232784916
5,54,248,43,104,218,308,77,276,new_maybe_5,181239,0.0001,1000,8,1834.695196167
6,30,54,104,213,82,155,183,127,new_maybe_5,181240,0.0001,1000,8,1314.617431875
7,30,53,160,77,134,216,239,99,new_maybe_5,181241,0.0001,1000,8,1394.679199125
8,30,53,78,180,98,121,219,154,new_maybe_5,181242,0.0001,1000,8,1295.76952125
9,30,88,77,216,181,137,112,192,new_maybe_5,181243,0.0001,1000,8,1233.065557166
10,30,55,77,182,111,210,133,158,new_maybe_5,181244,0.0001,1000,8,1064.714140709
11,32,50,211,103,188,127,72,151,new_maybe_5,181245,0.0001,1000,8,945.01093425
12,30,88,212,66,236,120,146,258,new_maybe_5,181246,0.0001,1000,8,1170.02993775
13,52,42,200,147,75,169,123,99,new_maybe_5,181247,0.0001,1000,8,853.934498208
14,35,68,78,204,149,105,124,178,new_maybe_5,181248,0.0001,1000,8,912.914071916
15,32,83,155,107,59,217,186,129,new_maybe_5,181249,0.0001,1000,8,984.852278458
16,30,54,170,80,448,103,145,411,new_maybe_5,181250,0.0001,1000,8,1063.259927541
17,37,57,127,195,79,104,222,165,new_maybe_5,181251,0.0001,1000,8,852.921546292
18,67,118,224,61,200,144,172,90,new_maybe_5,181252,0.0001,1000,8,922.266649542
19,30,53,100,123,172,146,75,203,new_maybe_5,181253,0.0001,1000,8,756.89640375
20,30,77,104,54,231,206,257,183,new_maybe_5,181254,0.0001,1000,8,957.281120375
21,61,51,154,176,127,83,104,211,new_maybe_5,181255,0.0001,1000,8,823.572332167
22,32,97,50,74,243,163,274,297,new_maybe_5,181256,0.0001,1000,8,1020.627602792
23,30,116,148,80,257,230,202,172,new_maybe_5,181257,0.0001,1000,8,984.490918333
24,30,167,76,56,121,99,146,194,new_maybe_5,181258,0.0001,1000,8,752.205593291
25,30,52,77,100,128,218,226,154,new_maybe_5,181259,0.0001,1000,8,814.266808292
26,31,77,177,54,103,128,208,156,new_maybe_5,181260,0.0001,1000,8,793.453044666
27,30,53,89,97,173,194,124,145,new_maybe_5,181261,0.0001,1000,8,763.565798125
28,52,126,73,161,179,101,206,229,new_maybe_5,181262,0.0001,1000,8,977.868267917
29,31,51,220,132,76,186,159,101,new_maybe_5,181263,0.0001,1000,8,773.889661625
30,32,89,54,110,215,188,144,160,new_maybe_5,181264,0.0001,1000,8,849.503708834
31,30,52,324,177,201,77,141,149,new_maybe_5,181265,0.0001,1000,8,901.727186083
32,30,79,216,53,133,105,157,186,new_maybe_5,181266,0.0001,1000,8,836.205987792
33,32,53,103,224,192,78,869,-1,new_maybe_5,181267,0.0001,1000,8,2263.211948417
34,32,493,50,162,157,216,189,533,new_maybe_5,181268,0.0001,1000,8,1102.703705833
35,30,53,77,101,183,208,128,153,new_maybe_5,181269,0.0001,1000,8,656.23428075
36,32,55,80,184,156,204,227,102,new_maybe_5,181270,0.0001,1000,8,712.024680875
37,30,81,247,190,222,299,273,179,new_maybe_5,181271,0.0001,1000,8,1073.068209583
38,30,54,102,123,81,171,202,150,new_maybe_5,181272,0.0001,1000,8,639.103606292
39,30,53,212,152,128,103,183,75,new_maybe_5,181273,0.0001,1000,8,645.484608667
40,30,54,77,196,103,138,164,223,new_maybe_5,181274,0.0001,1000,8,657.4799275
41,59,197,51,227,81,144,186,259,new_maybe_5,181275,0.0001,1000,8,637.66167725
42,32,178,55,109,245,215,116,143,new_maybe_5,181276,0.0001,1000,8,632.861478042
43,60,52,130,105,98,151,204,181,new_maybe_5,181277,0.0001,1000,8,547.488758666
44,30,201,54,78,119,124,174,148,new_maybe_5,181278,0.0001,1000,8,514.057856
45,30,136,81,59,160,107,219,185,new_maybe_5,181279,0.0001,1000,8,545.022186125
46,30,51,74,164,97,695,740,132,new_maybe_5,181280,0.0001,1000,8,891.926134875
47,53,43,129,77,157,101,214,183,new_maybe_5,181281,0.0001,1000,8,454.849827875
48,32,102,53,83,166,224,142,190,new_maybe_5,181282,0.0001,1000,8,438.76450725
49,30,53,99,176,122,211,148,77,new_maybe_5,181283,0.0001,1000,8,419.515146416
50,30,124,73,100,64,148,173,196,new_maybe_5,181284,0.0001,1000,8,397.789145583
