run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,27,20,24,49,64,52,39,14
2,0.0001,19,28,36,34,44,50,57,14
3,0.0001,27,39,20,40,63,45,32,14
4,0.0001,19,33,26,33,51,40,51,14
5,0.0001,26,26,19,31,55,67,51,14
