run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,16,27,33,45,62,80,40,53
2,0.0001,16,26,38,54,48,31,66,82
3,0.0001,16,29,23,56,42,37,63,47
4,0.0001,16,59,29,35,42,29,46,81
5,0.0001,16,24,32,27,58,39,50,62
