run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,18,21,19,21,22,24,27,32
2,0.0001,18,19,19,24,22,29,26,30
3,0.0001,16,20,21,23,22,25,27,30
4,0.0001,18,18,20,25,22,26,29,28
5,0.0001,17,22,20,21,23,24,26,28
