run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.001,19,28,37,44,40,35,48,27
2,0.001,20,30,38,51,49,54,41,25
3,0.001,29,33,49,37,50,41,23,30
4,0.001,33,28,35,61,50,54,26,21
5,0.001,32,28,47,50,38,38,35,19
