run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.001,17,26,30,54,41,64,33,69
2,0.001,21,28,35,55,37,46,66,54
3,0.001,19,25,43,31,35,58,51,70
4,0.001,21,27,31,65,40,44,53,48
5,0.001,21,27,29,47,64,35,53,47
