run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.001,26,41,92,105,68,81,59,34
2,0.001,30,42,54,95,75,80,56,34
3,0.001,26,63,96,45,83,83,57,34
4,0.001,30,43,83,108,65,89,60,35
5,0.001,26,44,56,72,96,59,92,40
