map_name,n_runs,univ_aggregate_welfare,univ_aggregate_welfare_sd,univ_inequality,univ_inequality_sd,univ_cardinal_harm,univ_cardinal_harm_sd,univ_ordinal_harm_blind,univ_ordinal_harm_blind_sd,univ_gini,univ_gini_sd
10esque,5,-1.574025974025974,0.25866661218461423,0.2753246753246753,0.06835167463345855,1.6753246753246753,0.20098425377327486,4.0,2.0,0.010959304045085161,0.016709431490648657
7esque,5,-1.3866666666666665,0.18365292010128342,0.3777777777777778,0.03142696805273547,1.44,0.14177011473543624,2.6,0.5477225575051661,0.054425250338309264,0.0033364824670832787
9esque,5,-1.1249999999999998,0.4604590855270905,0.225,0.2187003912001785,1.7166666666666668,0.37719266370855564,7.6,1.140175425099138,-0.0025139037820283796,0.03531757788481914
maybe_4,5,0.041860465116279055,0.2280967411207298,0.2930232558139535,0.08320252939534105,1.3953488372093024,0.23022081247934106,12.0,0.0,0.07948803000782968,0.017896604843892012
maybe_5,5,0.7827586206896552,0.17395859662937152,-0.17931034482758618,0.04658364167622862,0.496551724137931,0.08481637156033689,10.2,0.8366600265340756,-0.04419217938921386,0.011557727258075164
maybe_6,5,1.0274509803921568,0.11143742932064961,-0.2549019607843137,0.051877476687540995,0.08627450980392157,0.1088191131412675,5.0,2.345207879911715,-0.058192517833153115,0.013530220620141791
new_maybe_1,5,-1.1209302325581394,0.5146317738232336,0.4232558139534883,0.16640505879068201,1.925581395348837,0.4920679643683368,9.0,1.5811388300841898,0.051309534442849934,0.027782152784020915
new_maybe_2,5,0.2363636363636364,0.19656134827672414,-0.10909090909090904,0.07078368864726108,0.22272727272727272,0.08412161601509885,3.4,1.8165902124584952,-0.03079212102048124,0.014872412736460176
new_maybe_3,5,0.010169491525423718,0.3298777118834675,-0.05084745762711864,0.06564378552893922,0.8474576271186441,0.3164094017388893,7.6,1.1401754250991378,-0.041281424156032046,0.011690866495663987
new_maybe_4,5,-4.2142857142857135,0.5964125318630262,0.975,0.16199883471488183,4.310714285714286,0.5979610338133946,7.4,2.701851217221259,0.09068701189084827,0.018410315819869117
new_maybe_5,5,-6.984905660377359,3.6706879197502995,2.128301886792453,1.148497245889734,7.011320754716981,3.6626706976431063,4.6,1.1401754250991378,0.1021099380480535,0.07146325738020091
new_maybe_6,5,-4.104166666666666,0.17921510973005486,0.6375,0.0315953143502148,4.104166666666666,0.17921510973005486,7.4,2.792848008753788,0.05206254569189446,0.007062894195104957
no_line_1,5,1.4088888888888889,0.13571939097424413,-0.3511111111111111,0.04554200340426487,0.03555555555555552,0.01987615979999811,2.4,1.140175425099138,-0.07126880518099062,0.006662144974489978
no_line_2,5,2.3523809523809525,0.13405417390723082,-0.37142857142857133,0.049372479412685036,0.0,0.0,10.0,1.0,-0.03089125683060106,0.02372205781029657
no_line_3,5,1.0046511627906978,0.13196521822428944,-0.21860465116279065,0.07817551773940287,0.02325581395348834,0.02325581395348835,1.6,1.140175425099138,-0.04795156950909836,0.019672407846054826
no_line_A,5,2.1238095238095243,0.10296070624018877,-0.42380952380952375,0.048795003647426685,0.0,0.0,0.6,0.5477225575051662,-0.07860121479147213,0.020386244205844374
no_line_B,5,2.2130434782608694,0.08191932035398597,-0.3739130434782608,0.07111055319041795,0.04782608695652172,0.04712931171451911,11.4,1.816590212458495,-0.0679676073431379,0.02068819928650544
no_line_C,5,2.58,0.06928203230275515,-0.28,0.014142135623730944,0.032,0.022803508501982758,10.6,0.5477225575051661,-0.023394578557795056,0.006327702641119019
no_line_D,5,0.427027027027027,0.38384087888966867,0.010810810810810798,0.15596257347301087,0.23243243243243242,0.21503053276666043,2.4,1.3416407864998738,0.0029726429666614,0.036724142116508714
yes_line_10,5,-3.1246753246753247,1.0267792335917858,0.5844155844155844,0.09890614423199885,3.153246753246753,1.0238923481320352,5.0,3.0,0.032014106956999425,0.01802868380259949
yes_line_7,5,-1.9155555555555555,0.4155614972837249,0.3866666666666666,0.06004113816047244,1.9733333333333332,0.42814558502372596,5.0,1.7320508075688772,0.03133964004958746,0.011011419128333222
yes_line_8,5,-3.6620689655172414,0.3987197108844762,0.8793103448275863,0.16582227639371847,3.696551724137931,0.4167637619727729,4.0,1.7320508075688772,0.07563105534256745,0.019900594774338535
yes_line_9,5,-4.141935483870968,0.8481478872871628,1.1870967741935483,0.36666509002278247,4.6,0.9222083616118686,10.0,1.8708286933869707,0.11048705995522927,0.04716707586721288
yes_line_A,5,-2.086363636363636,0.5158640348767675,0.6590909090909091,0.27177865325230444,2.1272727272727274,0.5176632173639252,3.2,2.04939015319192,0.0554644372155399,0.022097137539105915
yes_line_B,5,-1.828125,0.2122355891750957,0.459375,0.06111752254877483,2.2125,0.20893143313058474,9.2,0.4472135954999579,0.0646321258372482,0.014279906581616247
yes_line_C,5,-0.8711111111111111,0.2995469830623043,0.3955555555555555,0.09609665915750959,1.9866666666666668,0.20703670575737096,13.0,1.5811388300841898,0.04610512396453616,0.026603684466421702
yes_line_D,5,-0.9636363636363635,0.26338153828760236,-0.027272727272727237,0.04927155315608812,1.5545454545454542,0.1682432320301977,10.6,1.51657508881031,-0.04765006060548732,0.018775704909989876
yes_line_E,5,-3.0935483870967744,0.4722254527784594,0.6516129032258065,0.10974855378196129,3.1129032258064515,0.45405446000836275,5.0,1.7320508075688772,0.06853910856751394,0.018843408327489413
yes_line_F,5,-1.815686274509804,0.17515852105197868,1.0627450980392157,0.04882313567838728,2.4627450980392154,0.13837081383825378,7.8,1.3038404810405297,0.17640865476459205,0.010567166540686382
