source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,54,89,46,70,70,59,78,101,46,101,55.0,70.875,567,-5.145833333333333,0.8125,0.13602292768959434
simulation,2,,0.0001,42,61,64,72,46,49,77,89,42,89,47.0,62.5,500,-3.75,0.6458333333333334,0.139
simulation,3,,0.0001,74,87,55,54,46,55,66,85,46,87,41.0,65.25,522,-4.208333333333333,0.5208333333333334,0.12212643678160928
simulation,4,,0.0001,70,90,43,60,54,46,55,72,43,90,47.0,61.25,490,-3.5416666666666665,0.6458333333333334,0.1306122448979592
simulation,5,,0.0001,52,82,40,76,50,58,69,87,40,87,47.0,64.25,514,-4.041666666666667,0.6458333333333334,0.1391050583657587
simulation,6,,0.0001,64,82,42,51,46,73,70,93,42,93,51.0,65.125,521,-4.1875,0.7291666666666666,0.14611324376199608
simulation,7,,0.0001,92,76,40,55,58,62,82,78,40,92,52.0,67.875,543,-4.645833333333333,0.75,0.13190607734806625
simulation,8,,0.0001,46,78,50,58,43,68,79,64,43,79,36.0,60.75,486,-3.4583333333333335,0.4166666666666667,0.12139917695473246
simulation,9,,0.0001,55,77,46,56,48,87,71,76,46,87,41.0,64.5,516,-4.083333333333333,0.5208333333333334,0.12354651162790709
simulation,10,,0.0001,78,82,43,73,47,71,100,90,43,100,57.0,73.0,584,-5.5,0.8541666666666666,0.13955479452054798
simulation,11,,0.0001,67,73,40,83,47,51,65,88,40,88,48.0,64.25,514,-4.041666666666667,0.6666666666666666,0.14202334630350189
simulation,12,,0.0001,45,60,40,69,68,83,64,90,40,90,50.0,64.875,519,-4.145833333333333,0.7083333333333334,0.13752408477842004
simulation,13,,0.0001,70,82,53,58,47,86,94,67,47,94,47.0,69.625,557,-4.9375,0.6458333333333334,0.12769299820466795
simulation,14,,0.0001,74,88,49,70,46,64,81,100,46,100,54.0,71.5,572,-5.25,0.7916666666666666,0.1372377622377623
simulation,15,,0.0001,75,85,40,62,50,48,78,68,40,85,45.0,63.25,506,-3.875,0.6041666666666666,0.13488142292490113
simulation,16,,0.0001,54,90,41,61,48,84,74,67,41,90,49.0,64.875,519,-4.145833333333333,0.6875,0.14185934489402707
simulation,17,,0.0001,61,81,39,55,48,75,73,88,39,88,49.0,65.0,520,-4.166666666666667,0.6875,0.13942307692307687
