run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,1.0,33,28,47,51,42,39,35,24
2,1.0,28,45,39,24,38,36,52,38
3,1.0,57,61,38,55,36,29,44,53
4,1.0,39,39,41,47,45,31,38,39
5,1.0,48,24,43,33,68,46,52,26
