run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
37,31,37,44,45,41,47,30,26,yes_line_D,261271,0.0001,1000,8,519.053261375,-1.3863636363636365,12.0,2.022727272727273,-0.1590909090909091,-0.06495016611295679
38,31,28,32,43,47,28,24,34,yes_line_D,261272,0.0001,1000,8,524.499941,-0.6136363636363636,11.0,1.3863636363636365,-0.11363636363636363,-0.055617977528089835
39,30,28,49,40,43,45,27,22,yes_line_D,261273,0.0001,1000,8,541.211835333,-1.0,12.0,1.7954545454545454,-0.022727272727272728,-0.027992957746478808
40,18,30,49,58,38,42,45,22,yes_line_D,261274,0.0001,1000,8,851.618215917,-1.4090909090909092,9.0,1.9090909090909092,0.2727272727272727,0.01705298013245038
41,39,28,56,52,42,28,36,31,yes_line_D,261275,0.0001,1000,8,830.423368875,-1.6363636363636365,13.0,2.2045454545454546,0.0,-0.033974358974359076
42,30,28,35,48,57,44,28,19,yes_line_D,261276,0.0001,1000,8,584.992523375,-1.1136363636363635,11.0,1.9545454545454546,0.22727272727272727,0.006228373702422019
43,23,42,45,61,42,35,31,21,yes_line_D,261277,0.0001,1000,8,739.63626575,-1.3636363636363635,13.0,2.1136363636363638,0.2727272727272727,0.004166666666666652
44,18,28,32,44,43,39,57,31,yes_line_D,261278,0.0001,1000,8,712.787995333,-1.1818181818181819,6.0,1.4772727272727273,0.25,-0.005479452054794498
45,35,28,35,51,51,50,28,23,yes_line_D,261279,0.0001,1000,8,759.580656875,-1.3863636363636365,11.0,2.1363636363636362,0.0,-0.01843853820598018
46,20,30,52,36,47,41,43,23,yes_line_D,261280,0.0001,1000,8,826.821517875,-1.1818181818181819,8.0,1.6590909090909092,0.09090909090909091,-0.008904109589041198
47,33,28,43,51,46,42,28,21,yes_line_D,261281,0.0001,1000,8,622.852877125,-1.1818181818181819,12.0,1.9772727272727273,0.045454545454545456,-0.023458904109589174
48,23,34,48,53,33,42,37,37,yes_line_D,261282,0.0001,1000,8,557.723147625,-1.5227272727272727,9.0,1.75,0.045454545454545456,-0.04918566775244315
49,32,28,34,56,50,43,27,21,yes_line_D,261283,0.0001,1000,8,728.626570667,-1.1590909090909092,12.0,1.9772727272727273,0.1590909090909091,-0.0001718213058419238
50,18,28,49,37,34,47,37,23,yes_line_D,261284,0.0001,1000,8,645.16279625,-0.75,8.0,1.2954545454545454,0.06818181818181818,-0.006959706959706935
