run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,30,50,76,115,126,149,224,177,-3.80188679245283,3.0,3.839622641509434,1.1226415094339623,0.07008102211317468
2,0.0001,30,52,296,78,150,99,119,334,-5.7924528301886795,5.0,5.830188679245283,2.160377358490566,0.16352833231738284
3,0.0001,32,80,175,54,103,151,212,126,-3.669811320754717,6.0,3.688679245283019,0.9905660377358491,0.058138870499968354
4,0.0001,30,231,158,153,182,205,378,255,-9.88679245283019,5.0,9.924528301886792,2.5754716981132075,0.02696848211646463
5,0.0001,34,92,119,82,487,209,258,511,-11.773584905660377,4.0,11.773584905660377,3.792452830188679,0.19183298319327724
