source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,40,,0.0001,16,26,22,30,31,34,27,39,16,39,23.0,28.125,225,0.3409090909090909,-0.11363636363636363,0.13277777777777788
simulation,41,,0.0001,16,21,23,31,28,37,37,30,16,37,21.0,27.875,223,0.38636363636363635,-0.1590909090909091,0.14181614349775784
simulation,42,,0.0001,16,36,21,31,28,35,24,39,16,39,23.0,28.75,230,0.22727272727272727,-0.11363636363636363,0.14782608695652177
simulation,43,,0.0001,16,24,20,28,24,37,31,35,16,37,21.0,26.875,215,0.5681818181818182,-0.1590909090909091,0.14360465116279064
simulation,44,,0.0001,16,23,21,33,26,32,38,28,16,38,22.0,27.125,217,0.5227272727272727,-0.13636363636363635,0.13997695852534564
simulation,45,,0.0001,16,22,31,31,36,40,26,33,16,40,24.0,29.375,235,0.11363636363636363,-0.09090909090909091,0.13776595744680842
simulation,46,,0.0001,18,24,20,27,24,30,38,43,18,43,25.0,28.0,224,0.36363636363636365,-0.06818181818181818,0.1595982142857142
simulation,47,,0.0001,16,24,28,28,37,33,42,42,16,42,26.0,31.25,250,-0.22727272727272727,-0.045454545454545456,0.1519999999999999
simulation,48,,0.0001,16,24,30,21,35,25,42,33,16,42,26.0,28.25,226,0.3181818181818182,-0.045454545454545456,0.15707964601769908
simulation,49,,0.0001,16,21,23,33,33,29,42,35,16,42,26.0,29.0,232,0.18181818181818182,-0.045454545454545456,0.15409482758620685
simulation,50,,0.0001,16,21,24,38,40,27,30,42,16,42,26.0,29.75,238,0.045454545454545456,-0.045454545454545456,0.1691176470588236
experimental,,line,,16,20,24,28,32,36,40,44,16,44,28.0,30.0,240,0.0,0.0,0.17500000000000004
experimental,,1cut,,16,20,24,28,32,36,29,40,16,40,24.0,28.125,225,0.3409090909090909,-0.09090909090909091,0.15166666666666662
