run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.01,10,15,17,27,18,10,19,12,2.2857142857142856,9.0,0.023809523809523808,-0.2619047619047619,-0.0078125
2,0.01,10,15,19,18,26,10,23,12,2.1666666666666665,9.0,0.0,-0.2857142857142857,0.0014097744360901387
3,0.01,11,15,22,17,17,10,19,12,2.4047619047619047,10.0,0.0,-0.38095238095238093,-0.044207317073170715
4,0.01,10,15,18,25,15,10,19,12,2.380952380952381,9.0,0.0,-0.30952380952380953,-0.01814516129032251
5,0.01,11,15,19,25,15,11,21,12,2.261904761904762,9.0,0.0,-0.3333333333333333,-0.02374031007751931
