run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.01,16,25,38,67,72,50,31,52,-2.522727272727273,7.0,2.727272727272727,0.6363636363636364,0.06609686609686616
2,0.01,16,31,39,73,47,55,26,82,-2.9318181818181817,5.0,3.25,0.8636363636363636,0.08821138211382107
3,0.01,16,27,32,46,54,39,67,61,-2.3181818181818183,3.0,2.3181818181818183,0.5227272727272727,0.04429824561403506
4,0.01,16,40,53,63,65,25,45,32,-2.25,11.0,2.772727272727273,0.4772727272727273,0.04660766961651919
5,0.01,16,24,32,49,66,38,44,53,-1.8636363636363635,5.0,1.8636363636363635,0.5,0.039285714285714146
