run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.01,60,52,73,82,81,100,109,104
2,0.01,35,46,43,65,81,88,80,71
3,0.01,37,41,75,80,101,116,103,81
4,0.01,38,59,45,70,84,77,96,101
5,0.01,36,47,45,66,76,85,96,98
