run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.001,22,32,30,32,27,31,38,34
2,0.001,23,27,28,33,31,32,33,40
3,0.001,23,24,32,30,33,38,49,41
4,0.001,24,25,33,37,30,30,38,35
5,0.001,23,26,24,30,34,32,38,42
