run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.3,45,33,47,53,67,36,24,13
2,0.3,18,26,51,31,55,39,43,12
3,0.3,38,59,71,37,32,62,22,12
4,0.3,30,36,39,25,48,67,52,17
5,0.3,40,32,53,48,56,35,25,12
