run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,1.0,28,100,56,94,47,93,67,56,-6.840909090909091,9.0,6.840909090909091,1.0,0.02393715341959335
2,1.0,43,98,77,58,64,92,40,49,-6.386363636363637,11.0,6.386363636363637,0.6818181818181818,0.0027831094049903804
3,1.0,76,64,97,87,87,41,70,35,-7.204545454545454,14.0,7.409090909090909,0.7727272727272727,-0.009156193895870857
4,1.0,125,78,61,103,30,73,69,38,-7.659090909090909,14.0,7.840909090909091,1.5227272727272727,0.05138648180242633
5,1.0,29,66,50,81,62,67,87,59,-5.931818181818182,7.0,5.931818181818182,0.6818181818181818,-0.028043912175648833
