run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,1.0,31,76,39,134,65,102,94,27,-7.813953488372093,9.0,8.186046511627907,1.8372093023255813,0.10065565808644972
2,1.0,29,42,57,53,105,130,85,22,-6.767441860465116,8.0,7.255813953488372,1.8604651162790697,0.122263796400079
3,1.0,47,37,96,83,55,71,123,45,-7.558139534883721,9.0,7.558139534883721,1.3488372093023255,0.039118120472977136
4,1.0,68,44,64,118,75,134,23,145,-10.209302325581396,6.0,10.581395348837209,2.186046511627907,0.0933693920550902
5,1.0,67,71,53,104,93,132,51,23,-8.418604651162791,12.0,8.883720930232558,1.8837209302325582,0.06138975966562166
