source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,14,20,21,23,23,26,33,31,14,33,19.0,23.875,191,0.9534883720930233,-0.20930232558139536,0.1328534031413613
simulation,2,,0.0001,15,19,22,31,31,24,24,35,15,35,20.0,25.125,201,0.7209302325581395,-0.18604651162790697,0.1411691542288558
simulation,3,,0.0001,14,21,21,24,34,24,24,34,14,34,20.0,24.5,196,0.8372093023255814,-0.18604651162790697,0.13647959183673475
simulation,4,,0.0001,14,19,19,24,23,25,33,26,14,33,19.0,22.875,183,1.1395348837209303,-0.20930232558139536,0.12773224043715836
simulation,5,,0.0001,14,18,20,22,24,22,29,30,14,30,16.0,22.375,179,1.2325581395348837,-0.27906976744186046,0.125
experimental,,line,,15,19,23,27,31,35,39,43,15,43,28.0,29.0,232,0.0,0.0,0.18103448275862077
experimental,,1cut,,15,19,23,27,31,35,24,39,15,39,24.0,26.625,213,0.4418604651162791,-0.09302325581395349,0.1613849765258215
