source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,38,34,67,75,89,85,98,106,34,106,72.0,74.0,592,-3.3548387096774195,0.7096774193548387,0.18581081081081074
simulation,2,,0.0001,36,49,40,68,70,99,59,92,36,99,63.0,64.125,513,-2.0806451612903225,0.5645161290322581,0.18835282651072127
simulation,3,,0.0001,35,40,66,69,54,93,95,117,35,117,82.0,71.125,569,-2.9838709677419355,0.8709677419354839,0.21287346221441128
simulation,4,,0.0001,38,53,44,72,64,84,78,94,38,94,56.0,65.875,527,-2.306451612903226,0.45161290322580644,0.16010436432637576
simulation,5,,0.0001,42,78,47,62,106,80,107,95,42,107,65.0,77.125,617,-3.7580645161290325,0.5967741935483871,0.17240680713128032
experimental,,line,,34,38,42,46,50,54,58,62,34,62,28.0,48.0,384,0.0,0.0,0.109375
experimental,,1cut,,52,56,58,62,64,65,68,73,52,73,21.0,62.25,498,-1.8387096774193548,-0.11290322580645161,0.05773092369477917
