run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,21,68,33,74,62,57,32,12
2,0.0001,18,38,47,60,53,30,41,12
3,0.0001,18,25,41,28,55,65,39,12
4,0.0001,21,46,36,60,28,52,58,12
5,0.0001,34,29,62,44,37,53,24,12
6,0.0001,38,20,39,84,69,74,31,12
7,0.0001,36,31,49,61,65,23,44,12
8,0.0001,44,22,51,74,102,64,108,12
9,0.0001,54,22,38,67,61,34,46,12
10,0.0001,36,33,58,49,55,43,26,12
11,0.0001,33,32,65,58,54,25,44,12
12,0.0001,38,33,52,70,64,34,23,12
13,0.0001,23,43,35,48,62,20,34,25
14,0.0001,48,31,41,56,35,24,45,12
15,0.0001,43,38,35,77,28,71,65,12
16,0.0001,17,35,34,55,64,60,29,12
17,0.0001,34,37,61,50,59,28,73,12
18,0.0001,30,44,53,63,38,65,24,12
19,0.0001,20,38,38,49,45,31,81,12
20,0.0001,38,33,53,63,48,29,33,12
21,0.0001,18,40,52,60,64,47,30,12
22,0.0001,17,34,37,43,62,30,49,12
23,0.0001,19,39,54,41,49,72,29,12
24,0.0001,29,32,49,58,44,36,22,12
25,0.0001,31,35,61,89,75,69,23,12
26,0.0001,34,54,30,53,65,24,46,12
27,0.0001,36,29,43,23,51,58,41,12
28,0.0001,36,51,42,68,54,24,37,12
29,0.0001,17,23,45,63,38,52,53,12
30,0.0001,21,43,39,52,76,30,65,12
31,0.0001,19,32,38,58,70,50,31,12
32,0.0001,22,33,61,68,54,42,27,12
33,0.0001,27,41,29,49,42,57,24,12
34,0.0001,29,40,31,43,54,24,44,12
35,0.0001,30,48,29,49,47,95,22,12
36,0.0001,30,38,49,57,41,56,22,29
37,0.0001,40,47,35,51,57,43,24,12
38,0.0001,29,34,35,54,45,23,63,12
39,0.0001,34,32,56,87,58,43,26,14
40,0.0001,22,44,38,52,75,29,74,12
41,0.0001,50,32,68,43,40,61,24,12
42,0.0001,29,24,29,58,46,39,21,12
43,0.0001,34,31,58,60,53,42,23,12
44,0.0001,30,37,59,50,42,31,25,12
45,0.0001,39,27,32,55,50,24,62,12
46,0.0001,48,36,49,40,27,38,59,12
47,0.0001,40,46,23,34,46,68,72,12
48,0.0001,18,42,55,51,33,58,45,12
49,0.0001,29,30,52,38,73,46,22,12
50,0.0001,36,33,72,61,63,45,24,12
