run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,20,19,19,23,23,25,27,29
2,0.0001,20,17,25,24,28,22,34,39
3,0.0001,16,19,19,23,22,27,29,31
4,0.0001,19,19,22,25,20,29,31,28
5,0.0001,18,17,21,26,31,26,36,36
6,0.0001,16,21,21,23,22,27,34,39
7,0.0001,18,17,19,24,26,31,30,34
8,0.0001,21,17,20,21,29,27,30,30
9,0.0001,20,23,20,32,26,28,27,31
10,0.0001,18,21,24,22,21,26,29,31
11,0.0001,16,19,22,23,29,29,27,33
12,0.0001,20,21,19,26,22,26,31,30
13,0.0001,18,21,22,32,22,24,28,29
14,0.0001,18,18,20,25,25,25,25,35
15,0.0001,18,21,21,23,24,23,35,33
16,0.0001,20,18,21,24,23,24,30,28
17,0.0001,19,23,19,19,23,31,28,42
18,0.0001,19,20,23,34,26,26,24,24
19,0.0001,20,21,18,22,31,32,26,31
20,0.0001,18,22,22,23,23,27,35,29
21,0.0001,16,19,21,25,28,31,29,29
22,0.0001,20,19,21,24,24,23,37,41
23,0.0001,18,19,24,24,23,35,28,32
24,0.0001,16,22,19,24,28,31,27,35
25,0.0001,19,17,22,21,24,27,35,35
26,0.0001,18,19,19,23,24,27,45,34
27,0.0001,18,18,21,26,29,29,34,32
28,0.0001,18,19,22,23,21,28,30,32
29,0.0001,17,19,23,21,25,25,31,27
30,0.0001,18,23,31,31,21,26,27,34
31,0.0001,17,19,22,23,28,31,37,38
32,0.0001,20,18,24,23,25,25,29,25
33,0.0001,18,18,23,22,26,30,26,29
34,0.0001,17,20,24,21,23,25,26,36
35,0.0001,20,22,19,19,24,25,30,32
36,0.0001,18,23,19,24,24,27,34,45
37,0.0001,20,19,22,20,30,23,26,31
38,0.0001,17,20,20,23,29,25,35,28
39,0.0001,18,17,23,22,26,28,29,30
40,0.0001,18,18,21,24,22,26,29,32
41,0.0001,17,21,22,28,24,24,34,35
42,0.0001,19,17,21,24,21,28,27,31
43,0.0001,17,23,23,23,23,23,30,35
44,0.0001,17,21,21,23,26,26,25,34
45,0.0001,16,21,21,23,23,27,29,38
46,0.0001,18,17,21,25,23,26,29,41
47,0.0001,17,17,25,22,27,29,27,35
48,0.0001,16,19,23,21,21,29,29,35
49,0.0001,18,18,26,22,29,32,32,35
50,0.0001,16,20,20,26,24,24,31,34
