run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,53,62,81,90,117,142,125,98
2,0.0001,39,42,67,94,149,83,125,104
3,0.0001,34,56,48,105,112,68,121,140
4,0.0001,46,71,54,84,135,138,92,106
5,0.0001,28,42,53,133,67,95,78,107
6,0.0001,29,45,63,131,102,127,92,76
7,0.0001,29,54,65,81,139,94,123,112
8,0.0001,41,91,59,134,74,125,101,147
9,0.0001,48,45,105,101,121,77,133,89
10,0.0001,23,36,58,128,71,101,115,80
11,0.0001,74,83,100,118,159,149,170,136
12,0.0001,26,40,62,49,106,108,127,88
13,0.0001,27,43,58,97,70,112,122,80
14,0.0001,34,49,62,97,123,115,72,80
15,0.0001,30,72,40,87,119,133,102,60
16,0.0001,32,71,44,74,132,141,88,115
17,0.0001,61,98,52,109,121,83,145,135
18,0.0001,41,47,61,83,124,97,119,141
19,0.0001,47,36,56,133,111,88,62,105
20,0.0001,57,70,79,102,140,108,123,154
21,0.0001,40,55,31,66,110,112,131,95
22,0.0001,46,35,54,66,123,77,92,111
23,0.0001,25,59,48,98,71,86,125,109
24,0.0001,101,62,52,69,115,146,85,128
25,0.0001,65,41,67,109,79,121,129,91
26,0.0001,41,48,82,105,128,155,141,99
27,0.0001,29,38,47,108,67,94,128,79
28,0.0001,59,53,89,45,114,123,78,130
29,0.0001,30,51,75,63,102,88,130,120
30,0.0001,44,36,61,88,117,129,69,107
31,0.0001,67,157,81,112,140,147,119,174
32,0.0001,55,40,77,66,139,105,101,125
33,0.0001,60,85,74,143,157,127,109,97
34,0.0001,44,47,57,70,106,133,99,83
35,0.0001,42,62,71,55,102,119,86,131
36,0.0001,34,93,44,123,80,72,115,56
37,0.0001,43,57,97,71,143,84,115,118
38,0.0001,37,53,65,58,118,76,108,92
39,0.0001,36,28,50,90,124,117,102,72
40,0.0001,36,30,59,48,124,108,87,100
41,0.0001,55,64,51,77,102,130,87,121
42,0.0001,35,51,64,90,86,108,132,120
43,0.0001,91,69,31,149,127,105,138,81
44,0.0001,49,61,93,73,135,124,113,155
45,0.0001,33,60,84,70,135,99,115,126
46,0.0001,42,60,77,37,102,114,87,65
47,0.0001,33,54,81,58,103,92,116,136
48,0.0001,50,81,125,68,92,134,114,145
49,0.0001,44,52,59,87,96,146,124,109
50,0.0001,64,50,77,135,111,154,121,90
