run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,48,66,34,68,84,73,103,106
2,0.0001,81,68,30,44,56,89,118,106
3,0.0001,85,70,30,55,41,101,107,123
4,0.0001,89,68,30,41,110,55,78,106
5,0.0001,37,68,54,55,110,94,88,85
6,0.0001,43,60,30,92,114,86,99,64
7,0.0001,42,72,30,110,60,57,89,101
8,0.0001,36,83,30,111,50,63,102,72
9,0.0001,36,72,30,52,73,99,90,109
10,0.0001,51,67,30,57,70,111,99,82
11,0.0001,85,107,30,79,64,57,120,110
12,0.0001,62,55,30,98,73,41,85,110
13,0.0001,135,55,30,91,123,85,47,107
14,0.0001,40,55,34,116,50,107,78,92
15,0.0001,36,51,30,61,90,77,110,95
16,0.0001,61,54,30,43,72,109,117,88
17,0.0001,51,90,30,59,111,121,82,130
18,0.0001,68,99,30,80,41,51,101,65
19,0.0001,124,104,30,42,58,75,92,93
20,0.0001,123,60,30,96,112,43,67,82
21,0.0001,47,45,30,102,61,96,129,74
22,0.0001,84,105,30,76,44,123,55,97
23,0.0001,63,54,35,179,51,74,87,103
24,0.0001,59,73,40,103,116,92,56,95
25,0.0001,36,65,30,93,48,91,106,75
26,0.0001,66,39,50,97,69,110,123,81
27,0.0001,37,50,30,98,90,62,78,111
28,0.0001,116,43,30,57,147,67,131,105
29,0.0001,113,80,30,51,134,94,145,130
30,0.0001,65,41,30,55,96,112,84,127
31,0.0001,54,65,30,46,92,113,100,81
32,0.0001,37,63,30,109,53,82,92,123
33,0.0001,52,70,30,93,64,105,124,81
34,0.0001,52,66,30,45,86,69,117,102
35,0.0001,38,79,30,65,55,110,121,94
36,0.0001,72,88,30,41,52,98,120,85
37,0.0001,46,57,30,39,92,70,112,86
38,0.0001,31,105,46,120,73,64,49,83
39,0.0001,46,94,30,43,59,73,84,115
40,0.0001,106,52,30,98,110,75,116,132
41,0.0001,56,44,39,105,66,119,80,92
42,0.0001,36,86,30,107,66,49,101,123
43,0.0001,64,58,30,110,93,42,120,77
44,0.0001,51,71,30,82,141,129,86,100
45,0.0001,44,55,38,85,98,123,68,105
46,0.0001,42,61,30,61,72,82,96,105
47,0.0001,69,61,34,112,120,85,48,93
48,0.0001,133,69,30,86,77,110,97,128
49,0.0001,43,98,30,68,75,169,62,87
50,0.0001,38,51,30,77,61,128,90,110
