run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,45,20,37,44,68,72,31,17,-1.7916666666666667,11.0,2.7708333333333335,0.4375,0.028455186401390664
2,0.3,19,23,50,71,63,34,56,28,-2.0,8.0,2.4791666666666665,0.375,0.017488747186796605
3,0.3,18,21,40,49,42,45,50,23,-0.8333333333333334,5.0,1.3541666666666667,-0.041666666666666664,-0.03629032258064524
4,0.3,18,24,79,58,79,35,27,45,-2.4375,9.0,2.9583333333333335,0.5625,0.05189460892620401
5,0.3,17,20,46,74,60,30,70,27,-2.0,7.0,2.5833333333333335,0.4791666666666667,0.05382595648912214
