run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,40,15,24,41,42,49,29,24,0.5517241379310345,10.0,0.6206896551724138,-0.13793103448275862,-0.02817874692874711
2,0.3,37,16,45,23,38,33,29,27,0.8275862068965517,12.0,0.6551724137931034,-0.22413793103448276,-0.055579773321708936
3,0.3,49,15,25,46,37,32,34,30,0.4827586206896552,11.0,0.7758620689655172,-0.13793103448275862,-0.04212888261395742
4,0.3,36,15,23,47,35,43,31,24,0.7241379310344828,10.0,0.5689655172413793,-0.1724137931034483,-0.0337039795701215
5,0.3,34,17,22,43,32,60,49,31,0.13793103448275862,8.0,0.7068965517241379,0.017241379310344827,-0.007108671171171199
