run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,35,36,70,54,81,123,104,88,-4.482758620689655,3.0,4.482758620689655,0.9827586206896551,0.07088835043272446
2,0.3,38,105,46,69,64,89,125,98,-5.224137931034483,6.0,5.224137931034483,0.9655172413793104,0.04707558588351901
3,0.3,38,40,63,67,88,107,91,128,-5.017241379310345,1.0,5.017241379310345,1.0172413793103448,0.05982067397829827
4,0.3,28,45,118,48,72,95,100,77,-4.344827586206897,5.0,4.344827586206897,1.0172413793103448,0.07013157281070415
5,0.3,52,37,53,75,83,92,113,120,-5.068965517241379,1.0,5.068965517241379,0.896551724137931,0.0469885196374622
