run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,25,21,22,23,29,29,26,33,0.8888888888888888,5.0,0.17777777777777778,-0.35555555555555557,-0.0864221464019852
2,0.3,17,23,18,23,31,37,40,34,0.5555555555555556,3.0,0.044444444444444446,-0.1111111111111111,-0.002875018081874847
3,0.3,19,23,22,29,23,30,30,32,0.8888888888888888,2.0,0.08888888888888889,-0.3333333333333333,-0.07440291563275436
4,0.3,16,20,23,23,23,28,33,36,1.0222222222222221,0.0,0.0,-0.17777777777777778,-0.033216224848291453
5,0.3,16,21,21,25,24,37,31,34,0.8666666666666667,3.0,0.0,-0.15555555555555556,-0.024019910480012507
