run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.3,29,27,46,30,31,36,39,40,0.35294117647058826,6.0,0.4117647058823529,-0.17647058823529413,-0.04297102858253932
2,0.3,26,29,42,35,36,30,33,42,0.45098039215686275,6.0,0.3137254901960784,-0.23529411764705882,-0.05169042669042678
3,0.3,24,28,32,34,29,38,36,37,0.7450980392156863,4.0,0.058823529411764705,-0.27450980392156865,-0.06146553530274468
4,0.3,24,24,33,36,34,28,33,44,0.7843137254901961,5.0,0.0784313725490196,-0.1568627450980392,-0.035446579391891886
5,0.3,20,27,34,39,28,34,38,43,0.6470588235294118,4.0,0.13725490196078433,-0.09803921568627451,-0.02259531394512382
