run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.1,52,43,87,70,102,91,58,44,-2.296875,10.0,2.640625,0.484375,0.06981718464351006
2,0.1,40,48,63,90,75,102,58,50,-1.96875,8.0,2.21875,0.53125,0.06705323193916346
3,0.1,44,38,75,65,82,110,53,45,-1.75,9.0,2.1875,0.6875,0.08933593750000002
4,0.1,38,43,49,83,88,99,64,47,-1.734375,7.0,2.0,0.515625,0.08457925636007824
5,0.1,50,65,89,76,102,79,54,44,-2.484375,11.0,2.890625,0.46875,0.04862254025044721
