run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.1,36,16,37,23,50,34,27,24,0.8448275862068966,12.0,0.6724137931034483,-0.13793103448275862,-0.03520625889046958
2,0.1,36,15,23,31,48,36,31,20,0.9655172413793104,9.0,0.4827586206896552,-0.15517241379310345,-0.0305461711711712
3,0.1,37,15,22,38,38,51,27,24,0.7586206896551724,10.0,0.5172413793103449,-0.10344827586206896,-0.022361647361647474
4,0.1,36,15,23,35,37,48,27,24,0.8793103448275862,10.0,0.39655172413793105,-0.15517241379310345,-0.03681742967457269
5,0.1,36,15,24,38,34,42,33,22,0.896551724137931,10.0,0.41379310344827586,-0.25862068965517243,-0.05607554275587079
