run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.1,22,25,14,23,15,20,20,24,2.5,12.0,0.0,-0.34,-0.04383946830265839
2,0.1,22,27,14,16,15,19,25,22,2.56,10.0,0.02,-0.3,-0.019270833333333348
3,0.1,22,26,14,16,15,19,24,24,2.56,10.0,0.0,-0.32,-0.023958333333333304
4,0.1,22,25,14,16,15,19,19,21,2.74,12.0,0.0,-0.34,-0.04070088300220753
5,0.1,22,28,14,30,15,17,19,21,2.44,14.0,0.04,-0.24,0.00025100401606437117
