run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,14,19,20,21,23,24,32,32
2,0.0001,14,19,19,29,22,24,30,38
3,0.0001,16,20,23,22,31,25,24,31
4,0.0001,14,19,19,22,24,24,33,26
5,0.0001,14,20,20,23,28,26,31,29
