run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,17,33,25,50,45,40,47,32
2,0.0001,16,19,50,68,39,61,48,25
3,0.0001,20,24,31,61,53,52,30,24
4,0.0001,16,26,55,37,41,49,33,19
5,0.0001,16,19,32,58,75,48,37,39
