"subject.code","answer","context","condition","badness"
"R_31zuDrqUATmHgFI",12,"No 3","no","original"
"R_32KqOo2AEj0tVdX",49,"No 3","no","original"
"R_3D77jkyASlRGTqD",10,"No 3","no","original"
"R_3dDE8OS7jARHVcT",46,"No 3","no","original"
"R_3G3S0l7VxciaIWg",6,"No 3","no","original"
"R_3iI892aKIzlTCm3",13,"No 3","no","original"
"R_3KW9H9FC1ifo1YV",12,"No 3","no","original"
"R_3MRne9JybULuGPX",10,"No 3","no","original"
"R_a90wt16hQIHhsRj",30,"No 3","no","original"
"R_Aaiu7NwZQoFdazT",10,"No 3","no","original"
"R_AhSldTz7xNWz7SF",5,"No 3","no","original"
"R_ANeTIXcBIwyfggV",21,"No 3","no","original"
"R_BDEiiuol7PCm5od",21,"No 3","no","original"
"R_PwfHbOWesn6tR0l",50,"No 3","no","original"
"R_sChbmfdhKx3fYFb",31,"No 3","no","original"
"R_SIBMbeTFd37lOY9",-27,"No 3","no","original"
"R_XLNB6At9fKflzG1",50,"No 3","no","original"
"R_z6C8dk0TuG2cq2t",10,"No 3","no","original"
"R_0TbvEJOOdRE8Po5",0,"Yes 1","yes","original"
"R_10NQO6ofuvssLna",0,"Yes 1","yes","original"
"R_125YC954CGborqS",0,"Yes 1","yes","original"
"R_1FKepxOiPxYVQHz",0,"Yes 1","yes","original"
"R_1igi8iqWfkvrcc1",-30,"Yes 1","yes","original"
"R_1jwjzf7E6IsgZqq",-13,"Yes 1","yes","original"
"R_1jwUh0dtFWDuT4x",-36,"Yes 1","yes","original"
"R_1mL9sBksGn4Chrc",-50,"Yes 1","yes","original"
"R_1ooRxXWrJBeti3l",0,"Yes 1","yes","original"
"R_1pmV7CCbwnNL4bs",0,"Yes 1","yes","original"
"R_1qg5zxG4OHT34gX",-1,"Yes 1","yes","original"
"R_1rwYAjoube9ImlK",50,"Yes 1","yes","original"
"R_22DGikbZewcoEkH",-20,"Yes 1","yes","original"
"R_22R1B5mN0RA0RMU",-5,"Yes 1","yes","original"
"R_2aQ6gax5O03RSIv",0,"Yes 1","yes","original"
"R_2dlINIzP1v3FX0g",1,"Yes 1","yes","original"
"R_2ebd9LcKLlwFO5v",24,"Yes 1","yes","original"
"R_2h5GlipyzZ47VLj",-10,"Yes 1","yes","original"
"R_2QrLW0BHAjWVg7Q",0,"Yes 1","yes","original"
"R_2rAt1AD0sqk7yPG",7,"Yes 1","yes","original"
"R_2rkgUKYk3bYGIoF",0,"Yes 1","yes","original"
"R_2uCFCg6xVDEY02q",0,"Yes 1","yes","original"
"R_2XizCOMyNrGa7Az",-29,"Yes 1","yes","original"
"R_31zuDrqUATmHgFI",0,"Yes 1","yes","original"
"R_32KqOo2AEj0tVdX",-50,"Yes 1","yes","original"
