country,split_half_corr,subsample_size,seed,portion_excluded,n_after_exclusions,label
Brazil,0.6410609774375271,2059,979350,0.2446043165467626,105,N = 105
Brazil,0.6864508621096124,2059,976699,0.2446043165467626,105,N = 105
Brazil,0.7193806125749246,2059,987940,0.2446043165467626,105,N = 105
Brazil,0.6668700038914158,2059,380195,0.2446043165467626,105,N = 105
Brazil,0.6568804990110113,2059,171359,0.2446043165467626,105,N = 105
Brazil,0.6627945399389323,2059,923246,0.2446043165467626,105,N = 105
Brazil,0.7419991310415687,2059,104892,0.2446043165467626,105,N = 105
Brazil,0.7601009707862262,2059,261692,0.2446043165467626,105,N = 105
Brazil,0.7621023565249102,2059,138780,0.2446043165467626,105,N = 105
Brazil,0.5625730508847967,2059,319097,0.2446043165467626,105,N = 105
Brazil,0.7175668786825413,2059,536048,0.2446043165467626,105,N = 105
Brazil,0.6851582692053018,2059,118091,0.2446043165467626,105,N = 105
Brazil,0.7075484551210666,2059,795857,0.2446043165467626,105,N = 105
Brazil,0.7023828786346742,2059,241766,0.2446043165467626,105,N = 105
Brazil,0.6229368665886663,2059,786055,0.2446043165467626,105,N = 105
Brazil,0.7653110903530435,2059,318533,0.2446043165467626,105,N = 105
Brazil,0.7847010115831258,2059,793492,0.2446043165467626,105,N = 105
Brazil,0.6582625566973745,2059,964079,0.2446043165467626,105,N = 105
Brazil,0.6549959693697442,2059,958329,0.2446043165467626,105,N = 105
Brazil,0.7839315426975282,2059,263649,0.2446043165467626,105,N = 105
Brazil,0.7630658510139064,2059,555616,0.2446043165467626,105,N = 105
Brazil,0.6751979879575508,2059,441006,0.2446043165467626,105,N = 105
Brazil,0.6659457443245762,2059,254718,0.2446043165467626,105,N = 105
Brazil,0.6403704629745839,2059,609870,0.2446043165467626,105,N = 105
Brazil,0.6730616432903307,2059,897098,0.2446043165467626,105,N = 105
Brazil,0.6270220770001167,2059,863621,0.2446043165467626,105,N = 105
Brazil,0.6623432949431597,2059,645975,0.2446043165467626,105,N = 105
Brazil,0.7487690530641374,2059,863757,0.2446043165467626,105,N = 105
Brazil,0.6958151186957298,2059,518468,0.2446043165467626,105,N = 105
Brazil,0.7085238638382053,2059,674881,0.2446043165467626,105,N = 105
Brazil,0.6531460212106108,2059,955081,0.2446043165467626,105,N = 105
Brazil,0.7294696699679704,2059,659874,0.2446043165467626,105,N = 105
Brazil,0.6722310866990536,2059,47258,0.2446043165467626,105,N = 105
Brazil,0.6953161804614977,2059,735757,0.2446043165467626,105,N = 105
Brazil,0.6027615429096795,2059,738672,0.2446043165467626,105,N = 105
Brazil,0.7132814170967818,2059,222753,0.2446043165467626,105,N = 105
Brazil,0.7112844760689162,2059,867086,0.2446043165467626,105,N = 105
Brazil,0.6675310422215749,2059,172066,0.2446043165467626,105,N = 105
