"subject.code","answer","context","condition","badness"
"R_2AEz7gp2X7S0kDc",41,"No D","no","original"
"R_2aLg1pNUmyUyafN",25,"No D","no","original"
"R_2bZQfabnPp5zGxV",33,"No D","no","original"
"R_2dMWycJ8dauXSdx",32,"No D","no","original"
"R_2Et5O1r8XPyRY5g",10,"No D","no","original"
"R_2TBm9RblyDfXDNy",50,"No D","no","original"
"R_2uxDBKloZO3l4p5",50,"No D","no","original"
"R_2WCjAMrzmDLSd1H",32,"No D","no","original"
"R_2Y55QH959rCKwBe",10,"No D","no","original"
"R_2YRJa3vIbwJ9jsl",-18,"No D","no","original"
"R_2zGesJmcZ2DxCol",50,"No D","no","original"
"R_31pzf0Jx1WFjqlw",27,"No D","no","original"
"R_33dMzf9QgBTvzIa",50,"No D","no","original"
"R_3dLWRwgFtRAUU16",-10,"No D","no","original"
"R_3fdF6udlM8Cxmn2",35,"No D","no","original"
"R_3g0FAV2qa3JazkP",25,"No D","no","original"
"R_3GdfcgvTi8pXOSv",23,"No D","no","original"
"R_3istlOYztRUWLYY",50,"No D","no","original"
"R_3KrwIEiFNwyLrls",32,"No D","no","original"
"R_3mk0cu2a0kcfaSa",50,"No D","no","original"
"R_3nBCqCUtqVFTrI0",24,"No D","no","original"
"R_6rOmpFR4YjwG0BX",45,"No D","no","original"
"R_9sh4pIR37U64lfb",7,"No D","no","original"
"R_CZz6qgVfnScHiq5",10,"No D","no","original"
"R_d71WN2oRhe3kdrP",-50,"No D","no","original"
"R_eeMg8U5womHNF61",16,"No D","no","original"
"R_el1TUQvCIAwDR5L",47,"No D","no","original"
"R_PGapHcX7F2JrNlL",50,"No D","no","original"
"R_ufUR3Su9erPZhyp",30,"No D","no","original"
"R_XXOsEe77FrCYtd7",50,"No D","no","original"
"R_yDAXwlOgsRhNQ7n",22,"No D","no","original"
"R_yOe552T3O8bum1H",-40,"No D","no","original"
"R_ZwUKUhG7ztdMPbr",15,"No D","no","original"
"R_1EYCOF0MawdNwGL",30,"Yes B","yes","original"
"R_1gpcMqQw3MgxmQj",7,"Yes B","yes","original"
"R_1hTodwWx3dCHEuv",12,"Yes B","yes","original"
"R_1i9eQNz0x41R0gv",0,"Yes B","yes","original"
"R_1jNGHGsMwnv28ul",24,"Yes B","yes","original"
"R_1kIcX7Z0ftlxVr6",-17,"Yes B","yes","original"
"R_1o6g2UdSHt2gzKi",15,"Yes B","yes","original"
"R_1OAJ7HJqKJdsnK8",0,"Yes B","yes","original"
"R_1rIDbUD7D19jHwL",14,"Yes B","yes","original"
"R_26kYaGxKqcDzQh2",34,"Yes B","yes","original"
"R_2AEz7gp2X7S0kDc",-45,"Yes B","yes","original"
"R_2aLg1pNUmyUyafN",-10,"Yes B","yes","original"
"R_2bZQfabnPp5zGxV",-18,"Yes B","yes","original"
"R_2dMWycJ8dauXSdx",33,"Yes B","yes","original"
"R_2Et5O1r8XPyRY5g",15,"Yes B","yes","original"
"R_2TBm9RblyDfXDNy",16,"Yes B","yes","original"
"R_2uxDBKloZO3l4p5",-40,"Yes B","yes","original"
"R_2WCjAMrzmDLSd1H",-13,"Yes B","yes","original"
"R_2Y55QH959rCKwBe",15,"Yes B","yes","original"
"R_2YRJa3vIbwJ9jsl",-44,"Yes B","yes","original"
"R_2zGesJmcZ2DxCol",22,"Yes B","yes","original"
"R_31pzf0Jx1WFjqlw",-46,"Yes B","yes","original"
"R_33dMzf9QgBTvzIa",-14,"Yes B","yes","original"
"R_3dLWRwgFtRAUU16",-31,"Yes B","yes","original"
"R_3fdF6udlM8Cxmn2",25,"Yes B","yes","original"
"R_3g0FAV2qa3JazkP",-45,"Yes B","yes","original"
"R_3GdfcgvTi8pXOSv",-4,"Yes B","yes","original"
"R_3istlOYztRUWLYY",-36,"Yes B","yes","original"
"R_3KrwIEiFNwyLrls",-36,"Yes B","yes","original"
"R_3mk0cu2a0kcfaSa",-33,"Yes B","yes","original"
"R_3nBCqCUtqVFTrI0",-9,"Yes B","yes","original"
"R_6rOmpFR4YjwG0BX",15,"Yes B","yes","original"
"R_9sh4pIR37U64lfb",-40,"Yes B","yes","original"
"R_CZz6qgVfnScHiq5",-33,"Yes B","yes","original"
"R_d71WN2oRhe3kdrP",-25,"Yes B","yes","original"
"R_eeMg8U5womHNF61",11,"Yes B","yes","original"
"R_el1TUQvCIAwDR5L",0,"Yes B","yes","original"
"R_PGapHcX7F2JrNlL",-50,"Yes B","yes","original"
"R_ufUR3Su9erPZhyp",20,"Yes B","yes","original"
"R_XXOsEe77FrCYtd7",0,"Yes B","yes","original"
"R_yDAXwlOgsRhNQ7n",-23,"Yes B","yes","original"
"R_yOe552T3O8bum1H",50,"Yes B","yes","original"
"R_ZwUKUhG7ztdMPbr",-50,"Yes B","yes","original"
"R_1EYCOF0MawdNwGL",50,"Yes C","yes","original"
"R_1gpcMqQw3MgxmQj",27,"Yes C","yes","original"
"R_1hTodwWx3dCHEuv",-3,"Yes C","yes","original"
"R_1i9eQNz0x41R0gv",28,"Yes C","yes","original"
"R_1jNGHGsMwnv28ul",30,"Yes C","yes","original"
"R_1kIcX7Z0ftlxVr6",-14,"Yes C","yes","original"
"R_1o6g2UdSHt2gzKi",34,"Yes C","yes","original"
"R_1OAJ7HJqKJdsnK8",-20,"Yes C","yes","original"
"R_1rIDbUD7D19jHwL",50,"Yes C","yes","original"
"R_26kYaGxKqcDzQh2",50,"Yes C","yes","original"
"R_2AEz7gp2X7S0kDc",10,"Yes C","yes","original"
"R_2aLg1pNUmyUyafN",10,"Yes C","yes","original"
"R_2bZQfabnPp5zGxV",19,"Yes C","yes","original"
"R_2dMWycJ8dauXSdx",26,"Yes C","yes","original"
"R_2Et5O1r8XPyRY5g",3,"Yes C","yes","original"
"R_2TBm9RblyDfXDNy",37,"Yes C","yes","original"
"R_2uxDBKloZO3l4p5",-20,"Yes C","yes","original"
"R_2WCjAMrzmDLSd1H",14,"Yes C","yes","original"
"R_2Y55QH959rCKwBe",-30,"Yes C","yes","original"
"R_2YRJa3vIbwJ9jsl",-42,"Yes C","yes","original"
"R_2zGesJmcZ2DxCol",10,"Yes C","yes","original"
"R_31pzf0Jx1WFjqlw",15,"Yes C","yes","original"
"R_33dMzf9QgBTvzIa",-6,"Yes C","yes","original"
"R_3dLWRwgFtRAUU16",15,"Yes C","yes","original"
"R_3fdF6udlM8Cxmn2",35,"Yes C","yes","original"
"R_3g0FAV2qa3JazkP",5,"Yes C","yes","original"
"R_3GdfcgvTi8pXOSv",26,"Yes C","yes","original"
"R_3istlOYztRUWLYY",50,"Yes C","yes","original"
"R_3KrwIEiFNwyLrls",15,"Yes C","yes","original"
"R_3mk0cu2a0kcfaSa",-25,"Yes C","yes","original"
"R_3nBCqCUtqVFTrI0",-8,"Yes C","yes","original"
"R_6rOmpFR4YjwG0BX",50,"Yes C","yes","original"
"R_9sh4pIR37U64lfb",5,"Yes C","yes","original"
"R_CZz6qgVfnScHiq5",-15,"Yes C","yes","original"
"R_d71WN2oRhe3kdrP",11,"Yes C","yes","original"
"R_eeMg8U5womHNF61",2,"Yes C","yes","original"
"R_el1TUQvCIAwDR5L",11,"Yes C","yes","original"
"R_PGapHcX7F2JrNlL",-50,"Yes C","yes","original"
"R_ufUR3Su9erPZhyp",-10,"Yes C","yes","original"
"R_XXOsEe77FrCYtd7",10,"Yes C","yes","original"
"R_yDAXwlOgsRhNQ7n",-40,"Yes C","yes","original"
"R_yOe552T3O8bum1H",40,"Yes C","yes","original"
"R_ZwUKUhG7ztdMPbr",-36,"Yes C","yes","original"
"R_1EYCOF0MawdNwGL",0,"Yes D","yes","original"
"R_1gpcMqQw3MgxmQj",2,"Yes D","yes","original"
"R_1hTodwWx3dCHEuv",11,"Yes D","yes","original"
"R_1i9eQNz0x41R0gv",28,"Yes D","yes","original"
"R_1jNGHGsMwnv28ul",27,"Yes D","yes","original"
"R_1kIcX7Z0ftlxVr6",-11,"Yes D","yes","original"
"R_1o6g2UdSHt2gzKi",7,"Yes D","yes","original"
"R_1OAJ7HJqKJdsnK8",-20,"Yes D","yes","original"
"R_1rIDbUD7D19jHwL",50,"Yes D","yes","original"
"R_26kYaGxKqcDzQh2",50,"Yes D","yes","original"
"R_2AEz7gp2X7S0kDc",-37,"Yes D","yes","original"
"R_2aLg1pNUmyUyafN",5,"Yes D","yes","original"
"R_2bZQfabnPp5zGxV",37,"Yes D","yes","original"
"R_2dMWycJ8dauXSdx",11,"Yes D","yes","original"
"R_2Et5O1r8XPyRY5g",-44,"Yes D","yes","original"
"R_2TBm9RblyDfXDNy",31,"Yes D","yes","original"
"R_2uxDBKloZO3l4p5",-35,"Yes D","yes","original"
"R_2WCjAMrzmDLSd1H",-6,"Yes D","yes","original"
"R_2Y55QH959rCKwBe",20,"Yes D","yes","original"
"R_2YRJa3vIbwJ9jsl",-49,"Yes D","yes","original"
"R_2zGesJmcZ2DxCol",15,"Yes D","yes","original"
"R_31pzf0Jx1WFjqlw",-25,"Yes D","yes","original"
"R_33dMzf9QgBTvzIa",-7,"Yes D","yes","original"
"R_3dLWRwgFtRAUU16",-20,"Yes D","yes","original"
"R_3fdF6udlM8Cxmn2",10,"Yes D","yes","original"
"R_3g0FAV2qa3JazkP",-40,"Yes D","yes","original"
"R_3GdfcgvTi8pXOSv",34,"Yes D","yes","original"
"R_3istlOYztRUWLYY",50,"Yes D","yes","original"
"R_3KrwIEiFNwyLrls",15,"Yes D","yes","original"
"R_3mk0cu2a0kcfaSa",-28,"Yes D","yes","original"
"R_3nBCqCUtqVFTrI0",-21,"Yes D","yes","original"
"R_6rOmpFR4YjwG0BX",41,"Yes D","yes","original"
"R_9sh4pIR37U64lfb",4,"Yes D","yes","original"
"R_CZz6qgVfnScHiq5",-7,"Yes D","yes","original"
"R_d71WN2oRhe3kdrP",-49,"Yes D","yes","original"
"R_eeMg8U5womHNF61",9,"Yes D","yes","original"
"R_el1TUQvCIAwDR5L",15,"Yes D","yes","original"
"R_PGapHcX7F2JrNlL",-50,"Yes D","yes","original"
"R_ufUR3Su9erPZhyp",-10,"Yes D","yes","original"
"R_XXOsEe77FrCYtd7",10,"Yes D","yes","original"
"R_yDAXwlOgsRhNQ7n",-47,"Yes D","yes","original"
"R_yOe552T3O8bum1H",50,"Yes D","yes","original"
"R_ZwUKUhG7ztdMPbr",18,"Yes D","yes","original"
"R_1EYCOF0MawdNwGL",0,"Yes E","yes","original"
"R_1gpcMqQw3MgxmQj",-8,"Yes E","yes","original"
"R_1hTodwWx3dCHEuv",-39,"Yes E","yes","original"
"R_1i9eQNz0x41R0gv",-39,"Yes E","yes","original"
"R_1jNGHGsMwnv28ul",-50,"Yes E","yes","original"
"R_1kIcX7Z0ftlxVr6",-41,"Yes E","yes","original"
"R_1o6g2UdSHt2gzKi",-50,"Yes E","yes","original"
"R_1OAJ7HJqKJdsnK8",-50,"Yes E","yes","original"
"R_1rIDbUD7D19jHwL",-7,"Yes E","yes","original"
"R_26kYaGxKqcDzQh2",-50,"Yes E","yes","original"
"R_2AEz7gp2X7S0kDc",-50,"Yes E","yes","original"
"R_2aLg1pNUmyUyafN",-40,"Yes E","yes","original"
"R_2bZQfabnPp5zGxV",-13,"Yes E","yes","original"
"R_2dMWycJ8dauXSdx",-50,"Yes E","yes","original"
"R_2Et5O1r8XPyRY5g",-50,"Yes E","yes","original"
"R_2TBm9RblyDfXDNy",9,"Yes E","yes","original"
"R_2uxDBKloZO3l4p5",-30,"Yes E","yes","original"
"R_2WCjAMrzmDLSd1H",-8,"Yes E","yes","original"
"R_2Y55QH959rCKwBe",-50,"Yes E","yes","original"
"R_2YRJa3vIbwJ9jsl",25,"Yes E","yes","original"
"R_2zGesJmcZ2DxCol",-16,"Yes E","yes","original"
"R_31pzf0Jx1WFjqlw",-22,"Yes E","yes","original"
"R_33dMzf9QgBTvzIa",-50,"Yes E","yes","original"
"R_3dLWRwgFtRAUU16",-50,"Yes E","yes","original"
"R_3fdF6udlM8Cxmn2",-50,"Yes E","yes","original"
"R_3g0FAV2qa3JazkP",-50,"Yes E","yes","original"
"R_3GdfcgvTi8pXOSv",-38,"Yes E","yes","original"
"R_3istlOYztRUWLYY",-50,"Yes E","yes","original"
"R_3KrwIEiFNwyLrls",-50,"Yes E","yes","original"
"R_3mk0cu2a0kcfaSa",-50,"Yes E","yes","original"
"R_3nBCqCUtqVFTrI0",-47,"Yes E","yes","original"
"R_6rOmpFR4YjwG0BX",-50,"Yes E","yes","original"
"R_9sh4pIR37U64lfb",-50,"Yes E","yes","original"
"R_CZz6qgVfnScHiq5",-35,"Yes E","yes","original"
"R_d71WN2oRhe3kdrP",-49,"Yes E","yes","original"
"R_eeMg8U5womHNF61",-29,"Yes E","yes","original"
"R_el1TUQvCIAwDR5L",-33,"Yes E","yes","original"
"R_PGapHcX7F2JrNlL",-50,"Yes E","yes","original"
"R_ufUR3Su9erPZhyp",-50,"Yes E","yes","original"
"R_XXOsEe77FrCYtd7",20,"Yes E","yes","original"
"R_yDAXwlOgsRhNQ7n",-50,"Yes E","yes","original"
"R_yOe552T3O8bum1H",50,"Yes E","yes","original"
"R_ZwUKUhG7ztdMPbr",-50,"Yes E","yes","original"
"R_1EYCOF0MawdNwGL",27,"Yes F","yes","original"
"R_1gpcMqQw3MgxmQj",8,"Yes F","yes","original"
"R_1hTodwWx3dCHEuv",-7,"Yes F","yes","original"
"R_1i9eQNz0x41R0gv",0,"Yes F","yes","original"
"R_1jNGHGsMwnv28ul",6,"Yes F","yes","original"
"R_1kIcX7Z0ftlxVr6",-50,"Yes F","yes","original"
"R_1o6g2UdSHt2gzKi",12,"Yes F","yes","original"
"R_1OAJ7HJqKJdsnK8",-10,"Yes F","yes","original"
"R_1rIDbUD7D19jHwL",-12,"Yes F","yes","original"
"R_26kYaGxKqcDzQh2",50,"Yes F","yes","original"
"R_2AEz7gp2X7S0kDc",5,"Yes F","yes","original"
"R_2aLg1pNUmyUyafN",10,"Yes F","yes","original"
"R_2bZQfabnPp5zGxV",10,"Yes F","yes","original"
"R_2dMWycJ8dauXSdx",-9,"Yes F","yes","original"
"R_2Et5O1r8XPyRY5g",-45,"Yes F","yes","original"
"R_2TBm9RblyDfXDNy",9,"Yes F","yes","original"
"R_2uxDBKloZO3l4p5",-50,"Yes F","yes","original"
"R_2WCjAMrzmDLSd1H",-19,"Yes F","yes","original"
"R_2Y55QH959rCKwBe",0,"Yes F","yes","original"
"R_2YRJa3vIbwJ9jsl",-46,"Yes F","yes","original"
"R_2zGesJmcZ2DxCol",-8,"Yes F","yes","original"
"R_31pzf0Jx1WFjqlw",-23,"Yes F","yes","original"
"R_33dMzf9QgBTvzIa",0,"Yes F","yes","original"
"R_3dLWRwgFtRAUU16",15,"Yes F","yes","original"
"R_3fdF6udlM8Cxmn2",0,"Yes F","yes","original"
"R_3g0FAV2qa3JazkP",-45,"Yes F","yes","original"
"R_3GdfcgvTi8pXOSv",-9,"Yes F","yes","original"
"R_3istlOYztRUWLYY",-46,"Yes F","yes","original"
"R_3KrwIEiFNwyLrls",-28,"Yes F","yes","original"
"R_3mk0cu2a0kcfaSa",-34,"Yes F","yes","original"
"R_3nBCqCUtqVFTrI0",32,"Yes F","yes","original"
"R_6rOmpFR4YjwG0BX",0,"Yes F","yes","original"
"R_9sh4pIR37U64lfb",-15,"Yes F","yes","original"
"R_CZz6qgVfnScHiq5",-16,"Yes F","yes","original"
"R_d71WN2oRhe3kdrP",-50,"Yes F","yes","original"
"R_eeMg8U5womHNF61",0,"Yes F","yes","original"
"R_el1TUQvCIAwDR5L",-5,"Yes F","yes","original"
"R_PGapHcX7F2JrNlL",-50,"Yes F","yes","original"
"R_ufUR3Su9erPZhyp",10,"Yes F","yes","original"
"R_XXOsEe77FrCYtd7",10,"Yes F","yes","original"
"R_yDAXwlOgsRhNQ7n",17,"Yes F","yes","original"
"R_yOe552T3O8bum1H",40,"Yes F","yes","original"
"R_ZwUKUhG7ztdMPbr",-7,"Yes F","yes","original"
