country,iso2,iso3,stimulus,judgment_mean,judgment_stdev,sample_size
Spain,ES,ESP,new_yes_10,1.909090909,0.435984684,11
Canada,CA,CAN,new_maybe_4_bad,1.8,0.4163332,10
Canada,CA,CAN,new_maybe_1,3.5,0.619139187,10
Turkey,TR,TUR,new_no_1,3.333333333,0.666666667,9
Ukraine,UA,UKR,yesline_b,4.307692308,0.364878192,13
United Kingdom,GB,GBR,new_maybe_5,2.8,0.4163332,10
United States,US,USA,new_yes_7esque,2,0.365148372,10
United States,US,USA,yesline_c,3,0.420084025,17
Ukraine,UA,UKR,new_maybe_5,3.090909091,0.609836721,11
United States,US,USA,new_maybe_5,3,0.34299717,17
Spain,ES,ESP,new_maybe_6,3.133333333,0.376280881,15
India,IN,IND,new_maybe_5,3.333333333,0.623609564,9
Ukraine,UA,UKR,noline_a,4.466666667,0.321701824,15
United Kingdom,GB,GBR,new_maybe_4,2.857142857,0.4174378,14
India,IN,IND,new_maybe_5_bad,2.307692308,0.498518515,13
India,IN,IND,yesline_b_badder,1.8,0.249443826,10
Canada,CA,CAN,new_maybe_2,3.6,0.498887652,10
Canada,CA,CAN,new_yes_10mod,2.181818182,0.463547229,11
Spain,ES,ESP,yesline_d_badder,1.166666667,0.166666667,12
Israel,IL,ISR,yesline_c_bad,3.571428571,0.685118789,7
Ukraine,UA,UKR,yesline_c,4.181818182,0.352089395,11
Canada,CA,CAN,new_no_3,4.545454545,0.312282982,11
Israel,IL,ISR,maybe_4,3.8,0.427617987,15
Ukraine,UA,UKR,yesline_b_badder,1.461538462,0.215293021,13
Canada,CA,CAN,yesline_b,4.285714286,0.473803541,7
United Kingdom,GB,GBR,new_yes_10,1,0,7
United Kingdom,GB,GBR,new_maybe_5_bad,1.833333333,0.344509606,12
Spain,ES,ESP,new_yes_7,2,0.40824829,13
Ukraine,UA,UKR,yesline_c_badder,2.090909091,0.435984684,11
Spain,ES,ESP,yesline_c_bad,2.727272727,0.359062139,11
Canada,CA,CAN,noline_c,4.230769231,0.323321031,13
United Kingdom,GB,GBR,maybe_6,3.666666667,0.600925213,9
Ukraine,UA,UKR,yesline_c_bad,3.357142857,0.427195594,14
Turkey,TR,TUR,yesline_f,4,0.5,9
Ukraine,UA,UKR,new_yes_7,2,0.440958552,9
India,IN,IND,noline_a,3.857142857,0.467129919,14
Israel,IL,ISR,new_maybe_1,2.923076923,0.445224496,13
Turkey,TR,TUR,new_yes_10_bad,1.416666667,0.228908257,12
Israel,IL,ISR,new_maybe_3_bad,1.8,0.359010987,10
United Kingdom,GB,GBR,noline_d,4.166666667,0.405143696,12
Turkey,TR,TUR,new_maybe_5_bad,1,0,9
Spain,ES,ESP,maybe_5,4.4,0.221108319,10
Turkey,TR,TUR,yesline_d,2,0.577350269,7
Israel,IL,ISR,new_yes_9esque,2.777777778,0.277777778,9
United States,US,USA,new_maybe_3,3.166666667,0.423429958,12
United Kingdom,GB,GBR,yesline_e,1.636363636,0.278721995,11
Canada,CA,CAN,maybe_6,4.833333333,0.121267813,18
Israel,IL,ISR,maybe_5,3.142857143,0.633530224,7
Israel,IL,ISR,maybe_6,3.857142857,0.231030726,14
India,IN,IND,yesline_d_badder,2.444444444,0.555555556,9
Ukraine,UA,UKR,new_maybe_3_bad,3.117647059,0.401122991,17
Turkey,TR,TUR,new_yes_9,1.909090909,0.414609245,11
India,IN,IND,new_yes_7,2.222222222,0.493788579,9
