run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.01,9,13,18,16,27,18,31,37
2,0.01,9,14,14,19,17,29,27,24
3,0.01,9,14,14,25,21,32,29,18
4,0.01,9,13,18,16,28,28,29,20
5,0.01,9,14,14,16,30,23,40,24
