run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,28,40,47,81,70,56,103,91
2,0.0001,26,50,57,68,42,78,86,106
3,0.0001,29,114,33,57,96,67,72,84
4,0.0001,25,98,39,54,63,45,79,84
5,0.0001,27,55,35,43,65,86,79,100
6,0.0001,29,99,42,69,76,48,87,109
7,0.0001,40,32,45,104,76,53,60,90
8,0.0001,27,38,44,55,66,81,91,104
9,0.0001,35,49,44,62,77,88,115,104
10,0.0001,29,34,45,90,78,57,103,68
11,0.0001,40,43,35,66,62,105,91,73
12,0.0001,28,46,59,34,90,67,101,81
13,0.0001,25,80,48,39,90,58,69,99
14,0.0001,32,63,54,42,75,102,88,112
15,0.0001,43,51,98,62,51,110,75,89
16,0.0001,38,32,42,75,59,101,64,89
17,0.0001,27,32,40,78,61,53,98,106
18,0.0001,25,47,42,59,109,75,86,95
19,0.0001,24,40,65,43,57,103,79,90
20,0.0001,30,52,90,106,33,62,74,48
21,0.0001,24,42,32,96,109,55,67,88
22,0.0001,40,34,68,52,96,86,45,108
23,0.0001,31,68,108,39,47,75,81,87
24,0.0001,30,32,78,38,58,95,67,81
25,0.0001,30,34,57,50,67,107,81,97
26,0.0001,28,44,63,31,102,78,69,89
27,0.0001,28,63,41,46,89,68,104,77
28,0.0001,32,36,45,105,53,79,67,93
29,0.0001,27,32,42,91,106,56,75,82
30,0.0001,35,44,46,80,60,86,105,93
31,0.0001,44,28,37,83,52,106,62,88
32,0.0001,34,27,42,61,70,99,53,85
33,0.0001,25,42,36,65,51,85,86,102
34,0.0001,22,34,46,110,55,78,68,93
35,0.0001,26,37,79,49,96,56,65,87
36,0.0001,37,69,40,56,47,80,93,104
37,0.0001,37,30,45,79,89,105,65,57
38,0.0001,25,35,39,48,97,70,64,82
39,0.0001,29,32,41,78,50,106,69,96
40,0.0001,33,31,39,51,100,64,86,74
41,0.0001,26,34,43,100,51,77,97,70
42,0.0001,27,86,30,50,56,102,66,81
43,0.0001,28,43,44,111,81,58,96,69
44,0.0001,36,25,42,60,71,112,98,83
45,0.0001,26,54,61,43,79,109,67,94
46,0.0001,29,46,33,104,89,58,68,81
47,0.0001,28,34,50,80,56,106,70,89
48,0.0001,55,39,109,99,64,77,122,90
49,0.0001,25,37,43,92,60,71,82,111
50,0.0001,46,39,74,102,53,61,87,124
