run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,23,36,44,47,54,40,34,21
2,0.0001,23,42,56,49,30,30,43,24
3,0.0001,34,28,61,48,35,53,40,22
4,0.0001,18,28,28,60,52,44,41,22
5,0.0001,23,51,32,52,46,40,28,28
6,0.0001,28,30,39,58,46,32,50,39
7,0.0001,23,34,51,52,46,41,27,21
8,0.0001,37,28,29,55,25,48,44,21
9,0.0001,34,28,48,39,45,27,22,37
10,0.0001,31,28,37,49,44,30,39,25
11,0.0001,35,28,46,41,32,44,25,28
12,0.0001,31,28,54,46,39,35,43,21
13,0.0001,18,28,30,42,59,40,53,24
14,0.0001,18,30,30,54,35,56,47,35
15,0.0001,30,28,47,34,46,55,45,19
16,0.0001,28,54,28,56,49,32,37,34
17,0.0001,33,28,41,58,29,50,46,21
18,0.0001,27,47,38,52,42,28,33,23
19,0.0001,33,28,55,47,42,38,43,25
20,0.0001,23,52,52,32,32,37,41,21
21,0.0001,23,36,44,33,61,50,32,21
22,0.0001,30,28,43,51,46,33,27,37
23,0.0001,32,28,45,41,34,54,24,32
24,0.0001,36,28,41,48,53,59,30,25
25,0.0001,25,36,43,61,53,47,37,31
26,0.0001,18,28,47,49,43,41,30,32
27,0.0001,33,28,49,44,56,25,49,31
28,0.0001,31,28,39,45,29,51,25,33
29,0.0001,33,28,41,37,40,35,50,32
30,0.0001,31,28,58,42,37,37,43,20
31,0.0001,23,42,46,55,48,29,39,24
32,0.0001,17,36,26,41,52,46,29,25
33,0.0001,24,28,49,61,43,45,48,28
34,0.0001,23,34,32,51,58,47,27,21
35,0.0001,35,28,33,43,50,32,24,31
36,0.0001,25,52,36,49,27,39,33,21
37,0.0001,24,54,30,51,31,34,39,22
38,0.0001,18,30,28,32,40,51,41,33
39,0.0001,20,28,47,46,39,39,50,40
40,0.0001,30,28,36,46,41,43,23,19
41,0.0001,20,28,32,41,50,39,52,25
42,0.0001,22,31,60,45,52,41,44,44
43,0.0001,36,28,52,44,26,29,42,42
44,0.0001,32,28,45,50,30,51,24,31
45,0.0001,18,31,62,36,46,40,49,29
46,0.0001,35,28,48,37,47,39,44,21
47,0.0001,31,28,45,40,35,55,42,21
48,0.0001,18,29,42,36,46,41,50,22
49,0.0001,37,28,45,35,47,33,48,30
50,0.0001,21,36,45,38,33,44,57,37
