run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.001,26,41,92,105,68,81,59,34,-2.4705882352941178,9.0,3.235294117647059,1.411764705882353,0.21248699812773042
2,0.001,30,42,54,95,75,80,56,34,-1.6862745098039216,8.0,2.3529411764705883,1.1372549019607843,0.18320533092387614
3,0.001,26,63,96,45,83,83,57,34,-2.0980392156862746,10.0,2.823529411764706,1.2352941176470589,0.191824273208689
4,0.001,30,43,83,108,65,89,60,35,-2.607843137254902,9.0,3.235294117647059,1.392156862745098,0.20165692007797276
5,0.001,26,44,56,72,96,59,92,40,-2.0588235294117645,7.0,2.6470588235294117,1.2352941176470589,0.18809007053716753
