run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.001,30,55,133,234,78,163,100,197,-4.2075471698113205,8.0,4.330188679245283,1.2169811320754718,0.08296754307783716
2,0.001,32,53,73,123,101,149,312,174,-4.462264150943396,4.0,4.481132075471698,1.9339622641509433,0.12264752877552199
3,0.001,30,52,76,124,218,193,150,100,-3.7641509433962264,7.0,3.830188679245283,1.0660377358490567,0.07715812332356053
4,0.001,68,58,96,196,259,146,121,171,-5.386792452830188,6.0,5.386792452830188,1.1886792452830188,0.0341656225270377
5,0.001,69,183,113,251,154,279,241,125,-8.216981132075471,11.0,8.216981132075471,1.2735849056603774,0.0007710195385575158
