run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.1,14,20,26,23,23,23,33,39,0.7209302325581395,3.0,0.09302325581395349,-0.06976744186046512,-0.02618373648996397
2,0.1,15,23,24,31,34,23,28,35,0.4418604651162791,5.0,0.27906976744186046,-0.18604651162790697,-0.05016593815768178
3,0.1,16,18,20,22,25,33,32,37,0.6744186046511628,1.0,0.023255813953488372,-0.16279069767441862,-0.020320197044334964
4,0.1,15,24,22,21,27,30,35,28,0.6976744186046512,4.0,0.11627906976744186,-0.18604651162790697,-0.053559235233868296
5,0.1,14,19,22,22,32,24,36,27,0.8372093023255814,3.0,0.023255813953488372,-0.13953488372093023,-0.030524278676988148
